chat_id	chatbot_answer	cse_id	cse_sentence
chat001_sense	계란이랑 햄 넣은 김치볶음밥이 맛있어요.	cse001	계란이랑 햄을 사서 볶음밥을 하려고 한다.
chat002_sense	나중에 찬밥에 무생채 넣어서 비벼 먹으면 꿀맛이에요	cse002	무생채가 있으니 밥을 비벼 먹을까 한다.
chat003_sense	오늘은 순두부찌개 먹고 싶어서 시켜 먹었어요.	cse003	밥은 그날 먹고 싶은 걸로 시키는데 오늘은 순두부찌개를 시켰다.
chat004_sense	혼밥 메뉴 추천해 드릴게요.	cse004	언니가 대구로 출장을 가서 혼자 밥을 먹어야(혼밥) 해야 해서 추천해 주려고 한다.
chat005_sense	김밥을 드신다면 상하기 쉬운 음식이니까 잘 확인하고 드세요.	cse005	엄마에게 김밥이 상하는지에 대해서 물어본다.
chat006_sense	고기에 볶음밥 싸서 한 입 먹으면 천국이죠!	cse006	내일 샐러드를 싸가야 하냐고 묻자 엄마가 샐러드 고기에 볶음밥 싸준다고 하고 있다.
chat007_sense	게딱지 양념에 흰쌀밥을 비벼 먹어도 맛있어요.	cse007	게딱지 양념에 흰쌀밥을 비벼 먹으면 매우 맛있다.
chat008_sense	초밥 먹고 싶은데 추레하게 나갈 수는 없고 게다가 귀찮아요.	cse008	점심에 초밥을 먹으러 추리하게 나갈 순 없는데 귀찮다고 하였다.
chat009_sense	같이 햄버거 먹는거 어때요? 저는 피클은 안먹으니까 빼고 먹어도 되죠?	cse009	김밥에 든 단무지랑 햄버거에 든 피클은 안 먹는다며 취향을 존중해달라고 한다.
chat010_sense	밥은 드셨으니까 편의점에서 핫바랑 컵라면 어떠세요?	cse010	아침에 밥을 먹었기 때문에 지금은 편의점에서 핫바랑 컵라면을 사 먹으려고 한다.
chat011_sense	아파트 담보대출 한 번 알아보세요.	cse011	살고 있는 아파트 담보대출을 받아서 집 문제를 해결하려고 한다.
chat012_sense	집값이 올랐다는 게 피부로 느껴질 정도였는데 축하드려요.	cse012	집을 알아봤는데 집값이 올랐다는 것이 피부로 느껴졌다.
chat014_sense	혹시 혼자 계시면 꼭 누구인지 확인하고 문 열어 주세요.	cse014	집에 문 두드린 사람이 집주인인지를 알아보고 있다.
chat015_sense	짧게 살 집이면 집들이 안해도 되죠!	cse015	어차피 일 년 살 집이라 집들이는 안 할 거고, 대화 상대자가 오면 앉을 식탁과 의자를 사려 한다.
chat016_sense	저는 가짜 나무로 만든 트리를 만들어 놓고 싶어요.	cse016	나중에 넓은 집으로 이사가면 가짜 나무로 만든 트리를 만들고 싶다.
chat017_sense	집에만 있더라도 창문을 다 열어놓고 환기도 하고 기분을 바꿔 보세요.	cse017	집에서 오랜만에 창문을 다 열어놓고 환기를 하고 있다.
chat018_sense	옆집에 사는 건 아니겠죠?!	cse018	같이 살면 많이 싸울 것 같다며 옆집에서 살자고 이야기하고 있다.
chat019_sense	여름에는 특히 시끄러운 것 같아요.	cse019	여름에는 집이 너무 시끄러워서 살면 안 되겠다고 하자 호텔도 잠자리가 불편해서 잘 못 잤다는 이야기를 한다.
chat020_sense	후드같이 고장나기 쉬운 것은 어떻게 수리하는지 미리 물어보는 것도 좋을 것 같아요.	cse020	후드가 고장이 났는데 교체해 주는 곳밖에 없어서 집주인께 이야기를 해야 할지 철물점에 수리를 알아봐야 하는지 고민하고 있다.
chat021_sense	평일과 주말 중에 언제 갈까요?	cse021	옷을 사러 가야해서 평일과 주말 중 가능한 시간에 대해 이야기한다.
chat022_sense	어떻게 입으면 예쁠 것 같아요?	cse022	배송 온 옷을 입어보고 앞으로 어떻게 입고 다닐지에 대해 이야기한다.
chat023_sense	이제 귀여운 옷이 눈에 띄어도 그만 사야하는군요!	cse023	오늘도 H&M(흐앤므)에서 예쁘고 귀여운 옷을 샀다고하니 그만 사라고 한다.
chat024_sense	여름 티는 커플이 같이 입기 좋은 것 같아요.	cse024	옷 사기전에 보여주겠다는데 다음에는 여름 티가 시급해서 여름 티를 사려 한다.
chat026_sense	주문한 옷이 택배로 와 있는데 걸 데가 없을 것 같군요	cse026	주문한 옷이 집 앞에 택배로 와 있어야 하는데 없어서 전화해보려고 한다.
chat027_sense	어떤 옷이 있는지 말해 주면 어떻게 매치하는 게 좋을지 알려 줄게요.	cse027	무슨 옷을 살 것인지 정하면 말해 준다고 한다.
chat028_sense	옷이 급하게 필요하네요.	cse028	마음에 드는 셔츠가 없어서 니트를 샀다며 옷에 대해 이야기하고 있다.
chat029_sense	그래도 가디건이랑 얇은 니트류는 또 사고 싶죠?!	cse029	언니 옷을 사러 갔다가 가디건이랑 얇은 엘레쎄 니트를 구매했다.
chat030_sense	코르덴 바지랑 같이 입으면 따듯하죠!	cse030	언니가 코르덴 바지를 입기도 했고 최근에 꺼내 입었는데 너무 따뜻해서 좋아졌다.
chat031_sense	태풍이 올 거 같은데 태풍 이름은 누가 짓는 걸까요?	cse031	태풍 이름들이 이상하다며 누가 짓는 건지 궁금해하고 있다.
chat032_sense	내일 태풍의 영향권에 들어서 비소식이 있어요.	cse032	태풍의 영향 때문에 형광등이 깜박거린다고 한다.
chat033_sense	밖이 덥기는 하지만 바람이 분다고 합니다.	cse033	밖에 덥기는 하지만 바람이 많이 분다고 한다.
chat035_sense	시원한 봄 날씨네요.	cse035	날씨가 풀렸는지 오늘은 시원한 봄 날씨이다.
chat036_sense	한파라서 눈도 올 거 같아요.	cse036	요즘 날씨가 엄청 춥고 눈도 오는 한파이다.
chat037_sense	작년이나 재작년과 달리 올해는 날씨가 많이 덥네요.	cse037	작년이나 재작년과 달리 올해는 날씨가 덥다.
chat038_sense	날씨도 좋고 구름도 예쁘죠?	cse038	밖에 날씨도 좋고 구름도 이쁘다.
chat039_sense	번개와 천둥을 동반한 비가 올 것이라고 합니다.	cse039	지금 번개와 천둥을 동반한 비가 오고 있다.
chat040_sense	3시에 비가 온다고 하니 그 전에 만나야 될 것 같아요.	cse040	3시에 비 오기 전에 일찍 가자고 하였다.
chat041_sense	저랑 같은 게임 클럽에 가입해서 종종 같이 해요.	cse041	게임 내의 클럽을 보유한 지인에게 가입 의사를 밝혔다.
chat042_sense	기본 카드게임이 제 취향이라서 새로운 게임을 잘 모르겠어요.	cse042	오늘 것은 내 취향이 아닌 것 같은데 기본 카드게임에 스토리가 있는 것 같다.
chat043_sense	탁구공 넣기 게임 어떠세요?	cse043	멋진 남자들이랑 탁구공 넣기 게임을 하고 싶다고 했다.
chat044_sense	게임상에서 배추에 맞았는데 화가 났지만 게임 안에서 일이라 말도 못 했어요.	cse044	배추에 맞았지만 게임상의 일이라서 화를 안 냈다.
chat045_sense	저도 방 탈출 게임하고 싶어요.	cse045	방 탈출 게임인 크라임 신을 하고 싶어 하는 이야기를 하고 있다.
chat046_sense	저는 하다말다 하니까 실력이 안 느는 것 같아요.	cse046	게임 기록을 향상시키기 위한 방법을 알려주고있다.
chat047_sense	저는 하다가 말다가 해서 잘하는 보드게임이 없어요.	cse047	게임을 하다가 말다가 해서 실력이 늘지 않는다고 하고 있다.
chat048_sense	저희 회사에서도 이미 유행 지난 게임들이 있어요.	cse048	추천한 게임이 회사에서 이미 유행 중이라고 한다.
chat049_sense	저도 궁금한 게임이 있는데 같이 플레이 해줄 수 있어요?	cse049	생일선물(생선)을 서로 하지 않기로 했지만 궁금한 게임이 있어 사주면 대신 플레이(play)를 해줄 수 있는지 묻고 있다.
chat050_sense	게임을 했는데 인원이 모자라서 기권패했더니 저도 재미없네요.	cse050	게임을 했는데 한번은 상대방이 안와서 이겼고 첫판은 인원이 모자라서 기권패했다.
chat051_sense	저도 고구마, 계란, 바나나를 먹고 있고, 목표 체중 될 때까지 운동하려고요!	cse051	다이어트(다요트) 식단으로 고구마, 계란, 바나나를 먹고 있으며, 목표 체중은 48이다.
chat053_sense	목표를 정해봐요! 다이어트의 1차 목표는 55 kg입니다.	cse053	다이어트의 1차 목표는 55킬로그램(55 kg)이다.
chat054_sense	팔뚝살 빼려고 다이어트하다가 폭식해서 성격만 나빠졌어요.	cse054	다이어트를 하면 성격이 더러워져서 폭식을 하게 된다.
chat055_sense	저도 다이어트를 하는데 오늘 유독 배가 고파서 힘들었어요.	cse055	다이어트를 하는데 오늘 유독 배가 고파서 힘들다.
chat056_sense	살빼고 싶지만 다이어트 식품은 먹기가 어려운 것 같아요.	cse056	이제 만나면 저녁은 다이어트 식단으로 먹어야 한다.
chat057_sense	줄넘기 추천드리고 싶은데 무릎에 무리가 가니 무릎 보호대를 꼭 하는게 좋겠습니다.	cse057	줄넘기를 하면서 다이어트를 하면 효과는 좋지만 무릎에 무리가 가니 무릎 보호대를 해야 한다.
chat058_sense	관리하는 습관이 중요한 것 같아요.	cse058	다이어트 프로그램에 나오는 사람들이 결국에는 요요가 와서 어릴 때부터 잘 관리하는 게 중요한 것 같다.
chat060_sense	일단 굶는 다이어트는 건강에 안 좋으니까 디톡스 다이어트 어때요?	cse060	디톡스 부작용으로 먹는 얘기만 하게 되고 굶는 다이어트는 안 좋으니까 몸에 독소랑 함께 하기로 결심했다.
